epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
52,5270,0.82279,1.58084,0.7807,1.12137,0,0.82694,0.81529,0.86057,0.70043,0.84721,0.80336,0.86152,0.65446,0.91568,1.64056,0.8129,1.16562,0,0.00017932,0.00017932,0.00017932
53,5371.1,0.80879,1.55127,0.76618,1.11163,0,0.85217,0.80259,0.86102,0.70507,0.86314,0.80346,0.8645,0.65785,0.90893,1.63471,0.79801,1.16474,0,0.000162924,0.000162924,0.000162924
54,5471.91,0.80803,1.55445,0.75906,1.11228,0,0.84808,0.80751,0.86386,0.70703,0.85248,0.81397,0.86672,0.65978,0.9055,1.6414,0.80183,1.15778,0,0.000147217,0.000147217,0.000147217
55,5572.39,0.81287,1.54874,0.763,1.11108,0,0.84384,0.82124,0.86936,0.71238,0.86566,0.809,0.86744,0.66271,0.89811,1.62222,0.7764,1.15005,0,0.00013223,0.00013223,0.00013223
56,5673.02,0.79894,1.52045,0.74094,1.10301,0,0.86702,0.81221,0.87224,0.71464,0.87522,0.81022,0.8711,0.66434,0.89297,1.61364,0.76721,1.14985,0,0.000117993,0.000117993,0.000117993
57,5774.29,0.79288,1.52295,0.7375,1.10004,0,0.86132,0.81398,0.87239,0.71785,0.8622,0.81383,0.87122,0.6649,0.88675,1.61172,0.76958,1.14824,0,0.000104537,0.000104537,0.000104537
58,5875.08,0.78676,1.51816,0.73532,1.09694,0,0.84486,0.83119,0.87614,0.71999,0.87268,0.80956,0.87485,0.67018,0.8799,1.60718,0.75848,1.13782,0,9.18862e-05,9.18862e-05,9.18862e-05
59,5975.92,0.78668,1.49858,0.72556,1.09904,0,0.85626,0.81993,0.87631,0.72129,0.86013,0.8212,0.87428,0.66863,0.87821,1.59967,0.75347,1.1368,0,8.00678e-05,8.00678e-05,8.00678e-05
60,6076.2,0.78228,1.51037,0.71639,1.09369,0,0.87749,0.81282,0.87468,0.72201,0.8776,0.81317,0.87233,0.6692,0.87094,1.59839,0.74949,1.13269,0,6.91052e-05,6.91052e-05,6.91052e-05
61,6177.81,0.76664,1.44503,0.64988,1.09897,0,0.85475,0.81479,0.86721,0.71552,0.86561,0.80738,0.86527,0.66505,0.88282,1.62742,0.75889,1.14443,0,5.90204e-05,5.90204e-05,5.90204e-05
62,6277.81,0.74088,1.40538,0.59629,1.08272,0,0.84863,0.82646,0.87198,0.72269,0.8512,0.82304,0.86857,0.66887,0.86681,1.61065,0.738,1.1289,0,4.98338e-05,4.98338e-05,4.98338e-05
63,6377.95,0.73683,1.38721,0.59132,1.0808,0,0.85406,0.82037,0.87419,0.72382,0.85717,0.82195,0.87166,0.67198,0.86639,1.60128,0.7392,1.12965,0,4.15637e-05,4.15637e-05,4.15637e-05
64,6478.31,0.73041,1.37555,0.58739,1.07697,0,0.87159,0.81476,0.87674,0.72817,0.87444,0.81745,0.8768,0.67428,0.86272,1.59967,0.73336,1.12763,0,3.4227e-05,3.4227e-05,3.4227e-05
65,6578.68,0.72453,1.37222,0.58373,1.07012,0,0.86391,0.82124,0.87742,0.72747,0.86426,0.82108,0.87331,0.67412,0.86093,1.59537,0.73302,1.12535,0,2.78384e-05,2.78384e-05,2.78384e-05
66,6678.82,0.71721,1.35278,0.5702,1.06853,0,0.86785,0.81826,0.87929,0.72976,0.86967,0.8193,0.87585,0.67601,0.85595,1.59008,0.72865,1.12086,0,2.24107e-05,2.24107e-05,2.24107e-05
67,6779.23,0.71404,1.35182,0.56189,1.06135,0,0.86907,0.81861,0.8805,0.73059,0.86995,0.81897,0.8766,0.67732,0.85292,1.58488,0.72307,1.11871,0,1.79549e-05,1.79549e-05,1.79549e-05
68,6879.36,0.71285,1.35281,0.56129,1.06557,0,0.8788,0.81975,0.88225,0.73224,0.879,0.82188,0.87961,0.67834,0.85215,1.58004,0.72042,1.11764,0,1.44799e-05,1.44799e-05,1.44799e-05
69,6979.27,0.71869,1.35175,0.5602,1.06624,0,0.8689,0.82729,0.88237,0.73263,0.8721,0.82952,0.881,0.67986,0.85171,1.57986,0.71764,1.11732,0,1.19927e-05,1.19927e-05,1.19927e-05
70,7079.02,0.71168,1.34057,0.55375,1.0621,0,0.88032,0.81878,0.8832,0.73241,0.88076,0.81922,0.87933,0.68019,0.8517,1.58218,0.71826,1.1169,0,1.04984e-05,1.04984e-05,1.04984e-05
